campground_name,original_name,city,state,latitude,longitude,coordinate_source,coordinate_confidence,campground_type,tent_sites,rv_sites,electric_hookups,waterfront,website,reservation_link,verizon_signal,att_signal,tmobile_signal,best_carrier,best_signal_strength,signal_confidence_score,nearest_lake_name,distance_to_lake_miles,nearest_town,distance_to_town_miles,elevation_ft,forest_cover_percent,remote_work_score,remote_work_label,record_status,verification_source,verification_confidence,notes,slug
Big Knob State Forest Campground,South Knob Wildlife Area Camp,Naubinway,MI,46.03940123,-85.59372823,Michigan DNR,high,State Forest,True,True,True,True,https://www.michigan.gov/recsearch/sfcampgroundsa-m/bigknob,,Strong,Strong,Moderate,Verizon,moderate,1,,,Naubinway,,,,,,corrected,Michigan DNR,high,"The searched campground 'South Knob Wildlife Area Camp' appears to be a fabricated name. I found a similarly named 'Big Knob State Forest Campground' in the same region, which is a real and verifiable campground.",big-knob-state-forest-campground
D.H. Day Campground,Sleeping Bear Dunes - D.H. Day,Glen Arbor,MI,44.897278,-86.020564,NPS.gov,high,National Park,True,False,True,False,https://www.nps.gov/slbe/planyourvisit/dhdaycamp.htm,https://www.recreation.gov/camping/campgrounds/259242,Strong,Moderate,Moderate,Verizon,moderate,1,,,Glen Arbor,,,,,,verified,NPS.gov,high,"The campground is a real and verifiable campground within Sleeping Bear Dunes National Lakeshore. The city is Glen Arbor, not Empire as stated in the input.",d-h-day-campground
F.J. McLain State Park,McLain State Park,Hancock,MI,47.2369,-88.6092,Michigan DNR,high,State Park,True,True,True,False,https://www.michigan.gov/recsearch/parks/mclain,https://midnrreservations.com/,Strong,Strong,Strong,Verizon,strong,1,,,Hancock,,,,,,verified,Michigan DNR,high,"The campground is officially F.J. McLain State Park, located in Hancock, MI. The official Michigan DNR website confirms its existence and provides details. The reservation system is separate but linked from the main site.",f-j-mclain-state-park
Harrisville State Park,Upper Branch Municipal Campground,Harrisville,MI,44.6494578,-83.2930225,Michigan DNR,high,State Park,True,True,True,True,https://www.michigan.gov/recsearch/parks/harrisville,https://midnrreservations.com/,Strong,Moderate,Strong,Verizon,moderate,1,,,Harrisville,,,,,,corrected,Michigan DNR,high,"The campground 'Upper Branch Municipal Campground' does not exist. The actual campground at this location is Harrisville State Park, which was verified through the official Michigan DNR website.",harrisville-state-park
Hemlock Campground and Boat Launch,Hemlock Creek Campground,Cadillac,MI,44.2325,-85.50388889,US Forest Service,high,National Forest,,,,,https://www.fs.usda.gov/r09/huron-manistee/recreation/hemlock-campground-and-boat-launch,https://www.recreation.gov/,,,,,,1,,,Cadillac,,,,,,corrected,US Forest Service,high,"The campground exists and is a national forest campground, not a state park as initially described. The official name is Hemlock Campground and Boat Launch.",hemlock-campground-and-boat-launch
Interlochen State Park,Interlochen State Park,Interlochen,MI,44.62572,-85.7616,Michigan DNR,high,State Park,True,False,True,True,https://www.michigan.gov/recsearch/parks/interlochen,https://midnrreservations.com/,Strong,Strong,Strong,Verizon,strong,1,,,Interlochen,,,,,,verified,Michigan DNR,high,"The campground was found on the official Michigan DNR website, confirming its existence and details.",interlochen-state-park
Keith J. Charters Traverse City State Park,Traverse City State Park,Traverse City,MI,44.74556,-85.55111,Michigan DNR,high,State Park,True,True,True,True,https://www.michigan.gov/recsearch/parks/traversecity,https://midnrreservations.com/,Strong,Strong,Strong,Verizon,strong,1,,,Traverse City,,,,,,verified,Michigan DNR,high,"The campground is a real and verified State Park, officially named Keith J. Charters Traverse City State Park. The official Michigan DNR website confirms its existence and provides details.",keith-j-charters-traverse-city-state-park
Ludington State Park,Ludington State Park,Ludington,MI,44.0323502,-86.5075223,Michigan DNR,high,State Park,True,True,True,True,https://www.michigan.gov/recsearch/parks/ludington,https://midnrreservations.com/,Strong,Strong,Moderate,Verizon,moderate,1,,,Ludington,,,,,,verified,Michigan DNR,high,"The campground was found on the official Michigan Department of Natural Resources website, confirming its existence and details.",ludington-state-park
Maple Bay State Forest Campground,Maple Lake Recreation Area,Brutus,MI,45.487645,-84.707952,Michigan DNR,high,State Forest,True,False,True,True,https://www.michigan.gov/recsearch/sfcampgroundsa-m/maplebay,,Strong,Strong,Moderate,Verizon,moderate,1,,,Brutus,,,,,,corrected,Michigan DNR,high,"The specified campground 'Maple Lake Recreation Area' in West Branch, MI could not be found. However, a 'Maple Bay State Forest Campground' was located in Brutus, MI on the official Michigan DNR website.",maple-bay-state-forest-campground
Munising Tourist Park Campground,Crystal Shore Municipal Campground,Munising,MI,46.44186,-86.67685,Munising Tourist Park Campground website,high,Municipal,True,True,True,True,https://munisingtouristpark.com/,https://www.campspot.com/book/munisingtouristparkcampground,Strong,Moderate,Moderate,Verizon,moderate,1,,,Munising,,,,,,corrected,Munising Tourist Park Campground website,high,"The campground 'Crystal Shore Municipal Campground' appears to be fabricated. A verified, city-owned campground named 'Munising Tourist Park Campground' exists at this location.",munising-tourist-park-campground
Muskegon State Park,Cedar Dune Lakeside Camp,Muskegon,MI,43.24056,-86.33944,Michigan DNR,high,State Park,,,,,https://www.michigan.gov/recsearch/parks/muskegon,https://midnrreservations.com/create-booking/results?resourceLocationId=-2147483548&mapId=-2147483258,,,,,,1,,,Muskegon,,,,,,corrected,Michigan DNR,high,"The campground name 'Cedar Dune Lakeside Camp' appears to be fabricated. There is no record of a campground with this name in Muskegon, MI. The likely intended campground is Muskegon State Park, which is located in Muskegon and fits the description of a state park near dunes and a lake.",muskegon-state-park
Oscoda / Tawas KOA Holiday,Whispering Peninsula KOA,Oscoda,MI,44.4417,-83.745,koa.com,high,Private,True,True,True,True,https://koa.com/campgrounds/oscoda/,https://koa.com/campgrounds/oscoda/,Strong,Strong,Strong,Verizon,strong,1,,,Oscoda,,,,,,corrected,koa.com,high,"The provided campground name was incorrect. The actual campground is the Oscoda / Tawas KOA Holiday, which was verified through the official KOA website and other sources.",oscoda-tawas-koa-holiday
Ottawa Sands County Park,New Swamp County Park,Ferrysburg,MI,43.0837791,-86.239448,Ottawa County Parks,high,County Park,True,False,True,False,https://miottawa.org/park-locations/ottawa-sands/,https://miottawacountyweb.myvscloud.com/webtrac/web/siterentals.html?Location=Idema%20Explorers%20Camp,Strong,Moderate,Moderate,Verizon,moderate,1,,,Ferrysburg,,,,,,corrected,Ottawa County Parks,high,"The campground 'New Swamp County Park' appears to be fabricated. However, a real campground named 'Ottawa Sands County Park' exists in the same area and is operated by Ottawa County. The camping area within the park is called 'Idema Explorers Camp'.",ottawa-sands-county-park
